N,P,K,temperature,humidity,ph,rainfall,label
6.0,142.0,202.0,27.237,82.946,6.225,70.425,Grapes
37.0,124.0,195.0,18.707,83.48,6.21,66.596,Grapes
35.0,134.0,204.0,9.95,82.551,5.841,66.008,Grapes
119.0,25.0,51.0,26.473,80.923,6.284,53.657,Watermelon
119.0,19.0,55.0,25.188,83.446,6.818,46.874,Watermelon
105.0,30.0,50.0,25.3,81.775,6.376,57.041,Watermelon
114.0,8.0,50.0,24.746,88.309,6.582,57.958,Watermelon
93.0,22.0,52.0,26.587,81.326,6.933,41.875,Watermelon
80.0,26.0,55.0,24.534,88.989,6.14,49.116,Watermelon
85.0,27.0,45.0,26.071,88.729,6.467,57.797,Watermelon
85.0,22.0,53.0,25.965,89.771,6.849,59.463,Watermelon
82.0,22.0,45.0,26.223,85.349,6.512,54.602,Watermelon
118.0,13.0,54.0,24.413,89.816,6.04,44.078,Watermelon
83.0,25.0,53.0,26.492,80.047,6.058,57.728,Watermelon
86.0,15.0,47.0,24.044,84.184,6.424,53.789,Watermelon
101.0,10.0,47.0,25.542,83.319,6.937,57.573,Watermelon
119.0,9.0,50.0,26.746,83.92,6.251,40.794,Watermelon
104.0,17.0,46.0,25.713,80.23,6.19,43.09,Watermelon
95.0,12.0,51.0,25.765,84.173,6.682,44.221,Watermelon
102.0,14.0,52.0,26.795,89.648,6.511,57.741,Watermelon
109.0,21.0,55.0,24.9,89.735,6.77,57.449,Watermelon
81.0,18.0,50.0,26.808,88.229,6.43,58.799,Watermelon
103.0,17.0,51.0,25.112,80.026,6.21,44.207,Watermelon
105.0,14.0,50.0,26.215,87.688,6.419,59.656,Watermelon
97.0,8.0,52.0,24.91,86.972,6.238,49.486,Watermelon
120.0,19.0,49.0,25.794,84.268,6.762,56.452,Watermelon
95.0,16.0,55.0,25.269,87.551,6.613,40.127,Watermelon
83.0,29.0,52.0,25.764,87.593,6.705,46.051,Watermelon
83.0,9.0,45.0,25.855,89.132,6.05,46.852,Watermelon
91.0,21.0,50.0,24.335,81.44,6.762,48.321,Watermelon
116.0,5.0,54.0,25.376,80.993,6.654,57.23,Watermelon
112.0,28.0,54.0,24.861,85.053,6.738,55.296,Watermelon
88.0,29.0,51.0,24.719,88.946,6.096,48.46,Watermelon
118.0,15.0,45.0,24.215,84.206,6.538,48.011,Watermelon
92.0,21.0,48.0,25.817,82.043,6.377,54.83,Watermelon
106.0,14.0,45.0,24.47,84.164,6.417,57.268,Watermelon
99.0,5.0,47.0,24.131,84.845,6.649,51.195,Watermelon
98.0,8.0,51.0,26.179,86.523,6.259,49.431,Watermelon
108.0,22.0,46.0,26.177,86.73,6.121,53.335,Watermelon
119.0,7.0,55.0,26.039,84.638,6.031,44.399,Watermelon
117.0,27.0,48.0,26.533,82.391,6.835,54.307,Watermelon
109.0,10.0,53.0,26.819,87.827,6.552,46.062,Watermelon
80.0,16.0,46.0,25.504,81.403,6.94,48.478,Watermelon
100.0,18.0,52.0,26.202,80.383,6.876,56.479,Watermelon
91.0,7.0,53.0,25.137,89.283,6.457,43.529,Watermelon
86.0,6.0,53.0,25.92,83.472,6.922,42.107,Watermelon
107.0,5.0,52.0,26.663,89.984,6.881,57.408,Watermelon
103.0,16.0,49.0,24.067,81.641,6.916,51.752,Watermelon
101.0,20.0,48.0,24.677,82.754,6.206,57.057,Watermelon
85.0,25.0,47.0,26.114,87.641,6.295,58.482,Watermelon
84.0,7.0,51.0,26.815,87.657,6.4,55.741,Watermelon
102.0,28.0,54.0,25.156,80.275,6.862,55.495,Watermelon
98.0,25.0,52.0,25.28,83.154,6.224,49.295,Watermelon
97.0,25.0,50.0,26.22,80.901,6.094,49.086,Watermelon
90.0,16.0,45.0,24.921,80.618,6.292,50.557,Watermelon
95.0,12.0,46.0,26.217,81.01,6.323,54.654,Watermelon
82.0,23.0,49.0,26.814,87.22,6.873,51.705,Watermelon
82.0,25.0,51.0,24.313,87.474,6.074,48.112,Watermelon
110.0,28.0,46.0,24.291,88.045,6.499,51.26,Watermelon
118.0,21.0,51.0,24.43,86.339,6.679,48.582,Watermelon
120.0,20.0,45.0,25.666,88.698,6.114,54.227,Watermelon
91.0,7.0,52.0,25.078,83.462,6.405,56.4,Watermelon
81.0,6.0,55.0,24.889,85.871,6.11,51.707,Watermelon
101.0,13.0,54.0,25.429,82.915,6.829,56.341,Watermelon
101.0,17.0,55.0,24.371,87.127,6.451,44.639,Watermelon
111.0,6.0,53.0,26.493,88.591,6.314,46.064,Watermelon
107.0,10.0,49.0,25.832,89.005,6.755,45.247,Watermelon
115.0,11.0,46.0,24.416,89.397,6.623,40.322,Watermelon
84.0,25.0,52.0,24.372,81.251,6.125,44.209,Watermelon
120.0,7.0,47.0,24.248,83.037,6.654,54.766,Watermelon
91.0,12.0,46.0,24.645,85.499,6.344,48.312,Watermelon
89.0,22.0,52.0,24.897,86.108,6.217,53.146,Watermelon
113.0,19.0,46.0,25.419,81.121,6.286,49.523,Watermelon
97.0,22.0,50.0,26.26,86.146,6.77,58.979,Watermelon
117.0,30.0,50.0,24.901,87.208,6.745,46.592,Watermelon
90.0,14.0,52.0,24.847,89.205,6.392,59.679,Watermelon
104.0,23.0,47.0,26.982,86.701,6.77,42.913,Watermelon
81.0,16.0,45.0,26.904,86.254,6.727,59.76,Watermelon
88.0,5.0,47.0,25.865,86.675,6.662,41.166,Watermelon
92.0,7.0,45.0,26.706,81.141,6.945,51.51,Watermelon
81.0,18.0,50.0,26.44,80.919,6.507,47.818,Watermelon
111.0,5.0,55.0,26.283,84.425,6.521,50.787,Watermelon
108.0,23.0,51.0,26.844,83.85,6.107,40.229,Watermelon
113.0,30.0,50.0,26.04,83.986,6.277,43.877,Watermelon
83.0,10.0,53.0,24.93,85.008,6.195,48.759,Watermelon
101.0,11.0,51.0,25.507,84.243,6.792,44.207,Watermelon
114.0,21.0,55.0,25.444,87.939,6.473,57.515,Watermelon
99.0,6.0,45.0,26.126,86.551,6.001,40.712,Watermelon
92.0,20.0,55.0,25.105,87.527,6.588,59.265,Watermelon
92.0,7.0,48.0,26.275,86.632,6.957,54.387,Watermelon
91.0,24.0,55.0,26.271,83.092,6.259,46.768,Watermelon
110.0,21.0,54.0,26.737,87.824,6.748,47.464,Watermelon
112.0,25.0,51.0,25.047,85.567,6.933,56.725,Watermelon
89.0,25.0,54.0,24.694,85.57,6.353,48.994,Watermelon
100.0,10.0,53.0,24.544,84.608,6.212,42.007,Watermelon
83.0,22.0,54.0,25.898,81.967,6.277,54.5,Watermelon
95.0,14.0,50.0,26.633,84.318,6.56,56.319,Watermelon
119.0,30.0,49.0,25.358,80.458,6.903,47.721,Watermelon
97.0,12.0,47.0,25.288,89.637,6.765,58.287,Watermelon
110.0,7.0,45.0,26.638,84.695,6.189,48.324,Watermelon
96.0,18.0,50.0,25.331,84.305,6.904,41.532,Watermelon
83.0,23.0,55.0,26.898,83.892,6.463,43.972,Watermelon
120.0,24.0,47.0,26.986,89.414,6.261,58.549,Watermelon
115.0,17.0,55.0,27.578,94.119,6.777,28.083,Muskmelon
114.0,27.0,48.0,27.821,93.036,6.528,26.324,Muskmelon
101.0,25.0,52.0,29.099,94.222,6.75,22.525,Muskmelon
118.0,18.0,52.0,28.049,90.831,6.563,20.762,Muskmelon
95.0,26.0,45.0,29.917,94.557,6.118,28.161,Muskmelon
81.0,25.0,49.0,29.869,93.251,6.076,26.262,Muskmelon
117.0,24.0,53.0,29.172,92.214,6.293,21.303,Muskmelon
114.0,30.0,51.0,29.249,90.07,6.069,25.935,Muskmelon
113.0,6.0,52.0,27.763,90.356,6.741,25.216,Muskmelon
108.0,26.0,52.0,28.826,94.268,6.202,26.238,Muskmelon
81.0,30.0,48.0,28.524,92.097,6.041,29.867,Muskmelon
115.0,9.0,52.0,29.068,90.977,6.019,29.119,Muskmelon
83.0,7.0,45.0,29.084,90.739,6.704,25.33,Muskmelon
84.0,21.0,55.0,28.471,94.795,6.494,21.085,Muskmelon
109.0,26.0,45.0,28.28,90.39,6.225,21.59,Muskmelon
95.0,27.0,55.0,28.472,91.213,6.16,20.886,Muskmelon
119.0,5.0,55.0,29.688,94.301,6.169,26.839,Muskmelon
110.0,14.0,51.0,27.024,91.667,6.085,21.26,Muskmelon
82.0,18.0,48.0,29.096,94.167,6.159,26.706,Muskmelon
87.0,14.0,48.0,29.692,92.589,6.606,29.11,Muskmelon
85.0,9.0,53.0,28.206,92.868,6.448,28.787,Muskmelon
100.0,6.0,53.0,29.052,93.922,6.106,23.666,Muskmelon
107.0,12.0,46.0,29.572,93.619,6.56,27.569,Muskmelon
91.0,13.0,47.0,29.11,92.435,6.144,27.956,Muskmelon
102.0,25.0,50.0,28.205,92.914,6.1,20.36,Muskmelon
117.0,25.0,53.0,29.119,92.125,6.414,24.52,Muskmelon
85.0,21.0,52.0,29.628,90.101,6.075,23.696,Muskmelon
104.0,25.0,55.0,29.812,90.369,6.124,22.688,Muskmelon
102.0,24.0,54.0,27.723,90.939,6.698,22.819,Muskmelon
116.0,25.0,50.0,29.261,92.924,6.089,28.706,Muskmelon
100.0,17.0,48.0,29.728,94.298,6.368,26.524,Muskmelon
110.0,25.0,54.0,28.911,90.784,6.426,23.444,Muskmelon
104.0,25.0,51.0,28.964,93.885,6.47,23.561,Muskmelon
107.0,11.0,54.0,28.591,91.336,6.094,29.44,Muskmelon
98.0,26.0,52.0,27.339,90.698,6.15,28.691,Muskmelon
88.0,17.0,52.0,29.904,90.753,6.647,25.378,Muskmelon
87.0,25.0,46.0,27.427,90.027,6.38,21.751,Muskmelon
120.0,8.0,46.0,29.557,90.709,6.733,28.365,Muskmelon
95.0,13.0,46.0,29.841,93.763,6.126,23.282,Muskmelon
108.0,22.0,47.0,28.535,91.727,6.161,25.129,Muskmelon
82.0,13.0,52.0,27.115,94.869,6.443,26.519,Muskmelon
120.0,23.0,55.0,27.845,91.607,6.732,26.478,Muskmelon
110.0,22.0,47.0,29.032,91.822,6.244,24.939,Muskmelon
95.0,23.0,45.0,27.824,90.567,6.266,21.19,Muskmelon
106.0,10.0,49.0,27.727,92.007,6.351,20.211,Muskmelon
99.0,12.0,52.0,28.697,94.308,6.003,22.218,Muskmelon
106.0,20.0,51.0,29.73,90.97,6.343,20.49,Muskmelon
83.0,11.0,53.0,29.541,92.918,6.164,21.965,Muskmelon
117.0,19.0,55.0,28.803,91.783,6.122,25.164,Muskmelon
98.0,26.0,49.0,27.29,90.533,6.13,23.495,Muskmelon
113.0,20.0,48.0,27.466,94.877,6.441,27.279,Muskmelon
101.0,17.0,47.0,29.494,94.73,6.185,26.308,Muskmelon
98.0,7.0,45.0,27.792,92.511,6.158,26.854,Muskmelon
93.0,22.0,48.0,29.125,91.523,6.777,21.904,Muskmelon
95.0,21.0,47.0,27.931,93.562,6.432,20.661,Muskmelon
109.0,12.0,48.0,29.458,92.125,6.709,20.762,Muskmelon
118.0,12.0,47.0,27.969,92.174,6.011,28.948,Muskmelon
100.0,14.0,49.0,29.489,91.076,6.366,26.019,Muskmelon
89.0,9.0,47.0,29.472,90.771,6.668,28.752,Muskmelon
95.0,16.0,46.0,27.077,90.144,6.747,24.451,Muskmelon
95.0,7.0,45.0,27.3,90.8,6.032,25.095,Muskmelon
87.0,6.0,45.0,29.827,90.79,6.401,22.842,Muskmelon
93.0,20.0,50.0,29.931,93.23,6.449,24.348,Muskmelon
84.0,29.0,49.0,29.943,93.907,6.251,20.39,Muskmelon
111.0,5.0,47.0,28.033,91.474,6.274,21.179,Muskmelon
111.0,5.0,52.0,29.884,94.037,6.136,21.0,Muskmelon
111.0,15.0,54.0,27.706,92.912,6.194,22.062,Muskmelon
89.0,11.0,47.0,29.787,94.653,6.328,27.866,Muskmelon
110.0,15.0,48.0,28.578,92.866,6.213,27.599,Muskmelon
95.0,30.0,52.0,29.481,90.337,6.64,26.037,Muskmelon
115.0,12.0,52.0,27.515,94.962,6.686,21.018,Muskmelon
120.0,25.0,50.0,28.055,94.816,6.327,21.849,Muskmelon
102.0,11.0,45.0,29.032,93.126,6.355,24.156,Muskmelon
94.0,5.0,55.0,28.585,91.892,6.086,26.884,Muskmelon
84.0,18.0,46.0,27.088,93.424,6.781,25.322,Muskmelon
107.0,22.0,54.0,27.996,90.847,6.63,21.619,Muskmelon
80.0,18.0,52.0,27.873,91.148,6.485,24.052,Muskmelon
86.0,18.0,45.0,28.966,90.718,6.567,22.258,Muskmelon
113.0,28.0,48.0,28.877,92.488,6.171,24.443,Muskmelon
115.0,18.0,53.0,29.171,94.198,6.012,22.07,Muskmelon
82.0,20.0,54.0,29.34,90.015,6.541,21.445,Muskmelon
98.0,22.0,47.0,29.073,91.915,6.341,28.836,Muskmelon
117.0,25.0,54.0,28.683,92.51,6.151,29.112,Muskmelon
83.0,15.0,49.0,28.927,91.394,6.438,23.201,Muskmelon
120.0,16.0,51.0,27.999,91.642,6.547,23.286,Muskmelon
111.0,5.0,50.0,27.594,91.797,6.4,24.843,Muskmelon
85.0,21.0,47.0,29.873,90.609,6.187,24.697,Muskmelon
90.0,23.0,54.0,28.559,90.458,6.159,27.266,Muskmelon
99.0,29.0,55.0,29.194,91.462,6.661,26.482,Muskmelon
102.0,11.0,47.0,27.988,92.782,6.505,27.145,Muskmelon
80.0,18.0,51.0,28.054,91.818,6.706,20.766,Muskmelon
87.0,21.0,52.0,27.351,94.291,6.068,27.212,Muskmelon
114.0,8.0,52.0,29.341,94.551,6.419,28.229,Muskmelon
99.0,6.0,46.0,28.615,94.223,6.396,28.986,Muskmelon
89.0,25.0,50.0,27.049,91.347,6.376,25.081,Muskmelon
96.0,13.0,55.0,29.528,94.575,6.7,21.135,Muskmelon
82.0,26.0,47.0,28.504,93.468,6.565,24.2,Muskmelon
106.0,21.0,52.0,28.896,94.79,6.287,23.036,Muskmelon
90.0,15.0,52.0,27.049,91.382,6.448,23.657,Muskmelon
106.0,16.0,54.0,28.96,91.695,6.586,24.746,Muskmelon
24.0,128.0,196.0,22.751,90.695,5.521,110.432,Apple
7.0,144.0,197.0,23.849,94.348,6.133,114.051,Apple
14.0,128.0,205.0,22.608,94.589,6.226,116.04,Apple
8.0,120.0,201.0,21.187,91.134,6.321,122.233,Apple
20.0,129.0,201.0,23.41,91.699,5.588,116.078,Apple
32.0,137.0,204.0,22.86,93.129,5.824,117.73,Apple
27.0,139.0,205.0,22.484,93.408,5.772,105.547,Apple
0.0,123.0,205.0,22.028,92.961,5.791,121.135,Apple
22.0,144.0,196.0,21.912,91.687,6.499,117.076,Apple
1.0,124.0,199.0,23.711,93.274,5.658,112.668,Apple
30.0,122.0,197.0,21.378,92.72,5.573,106.142,Apple
29.0,121.0,196.0,22.849,94.321,6.079,123.598,Apple
13.0,126.0,204.0,23.109,92.796,6.383,108.184,Apple
9.0,139.0,199.0,23.252,94.541,5.867,105.356,Apple
0.0,133.0,200.0,23.673,90.494,5.708,104.23,Apple
30.0,143.0,199.0,23.769,90.598,5.798,102.265,Apple
36.0,140.0,198.0,23.344,91.477,6.282,104.427,Apple
37.0,137.0,199.0,22.639,90.185,5.698,108.341,Apple
33.0,121.0,203.0,22.457,94.763,5.606,114.841,Apple
7.0,144.0,195.0,22.964,93.581,5.856,104.647,Apple
35.0,128.0,205.0,21.073,93.566,6.041,107.874,Apple
29.0,128.0,198.0,22.441,92.708,5.685,121.498,Apple
2.0,143.0,196.0,22.713,90.453,5.669,109.885,Apple
34.0,140.0,198.0,21.704,93.44,5.752,115.178,Apple
29.0,144.0,204.0,22.433,92.487,5.8,119.103,Apple
32.0,141.0,203.0,21.259,92.844,5.821,109.066,Apple
13.0,144.0,197.0,22.922,94.896,6.28,105.694,Apple
25.0,143.0,198.0,22.812,91.519,6.027,107.855,Apple
9.0,137.0,200.0,21.122,90.688,5.637,102.802,Apple
6.0,144.0,198.0,21.115,90.315,5.559,104.509,Apple
37.0,126.0,196.0,23.6,90.976,5.596,107.173,Apple
2.0,120.0,203.0,23.127,94.712,5.893,108.621,Apple
11.0,143.0,197.0,22.985,93.32,5.876,122.195,Apple
10.0,141.0,201.0,22.127,90.978,6.386,104.541,Apple
24.0,142.0,202.0,22.538,91.481,5.711,101.847,Apple
23.0,138.0,195.0,22.491,91.703,5.796,124.392,Apple
18.0,125.0,204.0,22.355,94.478,6.047,116.737,Apple
13.0,121.0,196.0,22.207,93.506,6.443,120.159,Apple
26.0,122.0,202.0,22.445,94.738,5.617,107.184,Apple
28.0,123.0,202.0,22.766,92.124,6.442,120.436,Apple
26.0,121.0,201.0,22.191,90.026,6.162,112.313,Apple
21.0,137.0,196.0,23.612,91.703,5.813,123.59,Apple
21.0,135.0,198.0,23.861,94.92,5.765,105.024,Apple
5.0,144.0,205.0,21.422,92.627,6.185,102.805,Apple
2.0,123.0,205.0,22.366,90.786,5.74,124.983,Apple
15.0,133.0,199.0,23.997,91.61,5.825,117.61,Apple
31.0,130.0,198.0,21.801,92.734,5.555,120.059,Apple
25.0,143.0,200.0,23.804,92.804,6.024,100.619,Apple
16.0,143.0,204.0,23.715,91.533,5.631,121.896,Apple
19.0,122.0,202.0,23.345,90.38,5.812,112.895,Apple
10.0,125.0,196.0,22.313,90.036,5.731,113.069,Apple
20.0,139.0,202.0,23.502,92.211,5.67,107.987,Apple
28.0,123.0,198.0,23.463,91.457,5.683,111.776,Apple
28.0,136.0,200.0,23.062,92.395,6.246,114.74,Apple
2.0,131.0,199.0,22.474,91.228,6.017,124.218,Apple
2.0,140.0,197.0,22.698,92.822,5.535,105.051,Apple
27.0,138.0,201.0,23.667,93.902,5.952,105.4,Apple
30.0,127.0,204.0,22.501,92.459,6.126,100.934,Apple
32.0,145.0,203.0,23.831,90.844,6.407,109.597,Apple
29.0,139.0,205.0,23.641,93.745,6.156,116.691,Apple
26.0,126.0,195.0,21.414,92.991,5.879,118.398,Apple
40.0,136.0,202.0,22.853,94.576,5.935,117.531,Apple
6.0,124.0,200.0,22.982,93.845,5.971,109.585,Apple
35.0,138.0,200.0,21.199,90.808,5.671,103.684,Apple
17.0,136.0,196.0,23.872,90.499,5.882,103.055,Apple
33.0,134.0,205.0,21.037,94.339,6.086,114.741,Apple
16.0,143.0,197.0,22.617,93.52,5.904,116.926,Apple
27.0,120.0,200.0,21.453,90.745,6.11,116.704,Apple
29.0,145.0,205.0,22.812,92.13,6.212,109.338,Apple
3.0,141.0,197.0,21.981,91.127,6.143,115.479,Apple
15.0,123.0,204.0,22.527,92.548,6.366,115.383,Apple
5.0,136.0,195.0,22.356,91.924,6.264,107.77,Apple
10.0,136.0,204.0,21.199,92.156,6.276,105.855,Apple
7.0,141.0,195.0,23.881,93.451,5.514,104.912,Apple
2.0,129.0,201.0,22.782,94.368,5.682,122.145,Apple
29.0,138.0,197.0,22.191,92.438,5.831,121.662,Apple
30.0,137.0,200.0,22.914,90.705,5.603,118.604,Apple
29.0,132.0,204.0,23.09,90.225,6.097,108.217,Apple
14.0,139.0,197.0,21.725,92.84,6.057,121.696,Apple
18.0,125.0,203.0,22.443,91.592,6.16,102.557,Apple
33.0,143.0,204.0,21.132,91.958,5.814,122.539,Apple
40.0,144.0,196.0,22.718,92.255,5.987,107.029,Apple
9.0,143.0,197.0,23.75,92.882,5.57,117.66,Apple
38.0,135.0,203.0,23.761,93.662,5.966,100.826,Apple
28.0,130.0,196.0,22.135,94.677,6.062,112.92,Apple
35.0,142.0,203.0,21.171,90.237,5.895,123.65,Apple
12.0,129.0,205.0,22.362,91.158,6.119,118.683,Apple
1.0,135.0,203.0,22.779,92.701,5.624,113.776,Apple
0.0,145.0,205.0,21.225,90.099,5.521,113.976,Apple
31.0,121.0,201.0,23.158,90.344,5.732,110.713,Apple
35.0,131.0,203.0,22.428,93.917,5.893,102.723,Apple
29.0,140.0,195.0,23.641,90.953,5.561,116.743,Apple
33.0,138.0,198.0,22.294,90.69,6.222,122.742,Apple
14.0,140.0,197.0,23.352,90.901,6.071,113.038,Apple
35.0,145.0,195.0,22.039,94.581,6.232,110.98,Apple
40.0,120.0,197.0,23.806,92.489,5.889,119.634,Apple
25.0,132.0,198.0,22.319,90.852,5.733,100.117,Apple
31.0,137.0,196.0,22.145,93.826,6.4,120.631,Apple
36.0,144.0,196.0,23.652,94.505,6.497,115.361,Apple
10.0,140.0,197.0,22.169,90.272,6.229,124.468,Apple
22.0,30.0,12.0,15.781,92.511,6.354,119.035,Orange
37.0,6.0,13.0,26.031,91.508,7.512,101.285,Orange
27.0,13.0,6.0,13.361,91.356,7.335,111.227,Orange
7.0,16.0,9.0,18.88,92.043,7.814,114.666,Orange
20.0,7.0,9.0,29.477,91.578,7.129,111.173,Orange
26.0,27.0,10.0,28.069,92.915,6.08,114.134,Orange
5.0,23.0,15.0,25.669,92.047,7.409,112.542,Orange
0.0,18.0,14.0,29.771,92.007,7.208,114.416,Orange
39.0,24.0,14.0,30.555,90.903,7.189,106.071,Orange
13.0,23.0,6.0,23.961,90.264,7.365,102.696,Orange
21.0,17.0,15.0,23.983,91.547,7.456,118.49,Orange
33.0,12.0,8.0,25.261,90.312,6.822,117.37,Orange
6.0,9.0,12.0,31.084,90.144,7.029,109.689,Orange
19.0,7.0,10.0,14.78,91.221,6.118,100.196,Orange
24.0,18.0,6.0,26.566,94.452,6.285,116.38,Orange
9.0,11.0,8.0,24.859,94.39,6.559,111.78,Orange
31.0,8.0,7.0,34.515,93.638,7.163,103.568,Orange
22.0,17.0,5.0,24.122,90.724,6.946,102.836,Orange
13.0,5.0,8.0,23.853,90.105,7.475,103.923,Orange
16.0,8.0,9.0,24.603,91.284,7.601,111.295,Orange
4.0,13.0,6.0,15.632,94.26,7.561,101.471,Orange
0.0,25.0,14.0,19.335,91.98,6.362,116.45,Orange
8.0,7.0,10.0,28.262,91.983,6.929,105.213,Orange
4.0,23.0,5.0,22.676,93.363,7.478,110.333,Orange
33.0,14.0,8.0,21.032,92.964,7.684,110.682,Orange
30.0,7.0,15.0,33.235,91.061,7.826,115.766,Orange
21.0,29.0,12.0,22.303,92.16,6.439,117.369,Orange
11.0,14.0,5.0,11.503,94.893,6.946,115.568,Orange
9.0,8.0,15.0,14.343,94.357,7.994,110.222,Orange
5.0,18.0,14.0,33.106,93.484,7.434,119.171,Orange
29.0,25.0,14.0,30.492,90.458,7.782,113.33,Orange
33.0,12.0,15.0,30.256,92.033,6.052,116.717,Orange
8.0,16.0,6.0,12.228,90.265,7.107,108.416,Orange
15.0,14.0,8.0,10.011,90.224,6.221,119.394,Orange
16.0,7.0,8.0,22.792,90.609,6.42,116.508,Orange
0.0,12.0,7.0,20.184,90.655,6.969,116.813,Orange
5.0,25.0,6.0,30.721,94.013,6.011,106.812,Orange
6.0,8.0,11.0,24.356,92.397,6.601,119.695,Orange
10.0,5.0,5.0,21.213,91.353,7.818,112.983,Orange
1.0,17.0,6.0,10.787,91.384,6.82,117.529,Orange
1.0,30.0,10.0,11.899,91.347,7.291,103.577,Orange
0.0,23.0,15.0,22.567,93.375,7.599,109.859,Orange
24.0,27.0,9.0,18.869,93.247,6.157,119.394,Orange
36.0,11.0,13.0,17.341,93.049,7.192,112.719,Orange
40.0,21.0,8.0,34.907,92.878,7.419,102.191,Orange
40.0,22.0,6.0,24.536,91.91,6.488,115.979,Orange
32.0,18.0,13.0,13.838,91.748,6.044,107.987,Orange
9.0,10.0,10.0,22.355,93.522,6.01,101.516,Orange
13.0,16.0,8.0,34.74,93.123,6.95,100.197,Orange
15.0,9.0,11.0,11.548,94.149,7.908,108.829,Orange
29.0,11.0,5.0,23.133,91.947,7.64,104.422,Orange
1.0,15.0,9.0,29.984,94.552,7.534,115.356,Orange
18.0,5.0,11.0,20.879,90.938,6.252,102.455,Orange
14.0,22.0,9.0,17.249,91.138,6.543,112.509,Orange
33.0,15.0,7.0,15.834,91.683,7.651,109.757,Orange
4.0,6.0,7.0,23.01,91.118,6.709,112.674,Orange
17.0,16.0,14.0,16.396,92.182,6.626,102.944,Orange
12.0,20.0,10.0,24.451,93.105,6.528,109.471,Orange
34.0,29.0,8.0,31.879,91.152,6.451,105.344,Orange
39.0,28.0,10.0,31.349,91.482,7.182,109.155,Orange
31.0,25.0,12.0,18.051,90.04,7.016,111.779,Orange
12.0,6.0,8.0,30.848,92.868,6.389,107.414,Orange
12.0,29.0,13.0,22.456,91.528,7.571,118.007,Orange
26.0,11.0,11.0,13.703,90.956,7.609,106.294,Orange
19.0,24.0,15.0,20.49,93.725,7.137,111.839,Orange
39.0,21.0,9.0,13.208,94.028,6.354,106.27,Orange
16.0,29.0,13.0,32.319,93.678,6.197,117.624,Orange
36.0,29.0,13.0,20.682,90.915,7.83,109.751,Orange
37.0,23.0,12.0,31.527,90.506,6.395,113.117,Orange
39.0,9.0,15.0,25.355,91.812,7.992,116.756,Orange
31.0,5.0,14.0,17.665,91.699,6.583,110.686,Orange
18.0,12.0,8.0,12.591,91.817,6.206,119.392,Orange
20.0,20.0,10.0,11.866,93.684,6.977,106.06,Orange
5.0,8.0,5.0,11.034,92.227,6.563,112.772,Orange
20.0,8.0,12.0,25.299,94.964,7.26,117.973,Orange
25.0,21.0,11.0,32.238,90.154,6.46,104.705,Orange
14.0,19.0,14.0,17.684,94.358,6.699,108.064,Orange
37.0,18.0,12.0,10.271,90.191,7.401,106.696,Orange
26.0,15.0,6.0,17.22,94.788,6.912,108.005,Orange
13.0,22.0,5.0,19.667,90.501,7.764,100.174,Orange
32.0,25.0,9.0,10.356,93.757,7.796,101.146,Orange
19.0,7.0,9.0,27.255,91.714,6.97,101.139,Orange
28.0,7.0,9.0,34.592,92.132,6.731,115.565,Orange
24.0,30.0,11.0,32.395,94.518,6.601,113.254,Orange
7.0,17.0,10.0,10.164,91.223,6.466,106.363,Orange
18.0,23.0,8.0,21.491,93.439,6.414,101.482,Orange
7.0,20.0,12.0,16.535,94.768,6.475,110.045,Orange
20.0,23.0,11.0,31.852,90.122,6.408,109.946,Orange
18.0,14.0,11.0,28.048,90.006,6.551,117.131,Orange
34.0,11.0,10.0,31.75,94.596,7.362,115.199,Orange
20.0,29.0,10.0,29.074,93.272,7.365,100.79,Orange
37.0,24.0,13.0,19.144,90.71,7.855,108.023,Orange
12.0,8.0,10.0,16.148,91.445,7.996,107.429,Orange
34.0,10.0,14.0,34.053,92.058,6.726,116.802,Orange
6.0,13.0,9.0,34.514,90.562,7.787,118.327,Orange
27.0,30.0,5.0,32.717,90.546,7.657,113.329,Orange
13.0,8.0,12.0,25.163,92.547,7.106,114.312,Orange
6.0,7.0,7.0,27.682,94.473,7.199,114.0,Orange
40.0,17.0,15.0,21.351,90.949,7.871,107.086,Orange
31.0,26.0,9.0,11.699,93.256,7.566,103.201,Orange
61.0,68.0,50.0,35.215,91.497,6.793,243.075,Papaya
58.0,46.0,45.0,42.394,90.79,6.576,88.466,Papaya
45.0,47.0,55.0,38.419,91.142,6.751,119.265,Papaya
39.0,65.0,53.0,35.333,92.115,6.561,235.613,Papaya
31.0,68.0,45.0,42.923,90.076,6.938,196.241,Papaya
70.0,68.0,45.0,33.835,92.855,6.992,203.404,Papaya
68.0,62.0,50.0,33.203,92.764,6.978,197.528,Papaya
34.0,65.0,47.0,23.485,93.71,6.834,191.776,Papaya
38.0,68.0,54.0,29.337,90.818,6.739,202.057,Papaya
69.0,64.0,47.0,40.212,94.508,6.993,186.676,Papaya
58.0,51.0,47.0,42.135,91.704,6.757,197.403,Papaya
59.0,47.0,53.0,32.863,91.462,6.851,47.272,Papaya
44.0,64.0,54.0,29.807,91.38,6.743,232.705,Papaya
56.0,57.0,48.0,31.562,93.048,6.506,63.623,Papaya
69.0,60.0,54.0,36.323,93.061,6.99,141.174,Papaya
56.0,58.0,49.0,37.132,94.608,6.692,172.479,Papaya
49.0,55.0,53.0,38.442,93.637,6.544,77.716,Papaya
